date,district,crop_yield
2024-04-27,Dhaka,4180.758857009491
2024-04-28,Dhaka,4082.2432396028807
2024-04-29,Dhaka,4103.730315916474
2024-04-30,Dhaka,4198.212439299914
2024-05-01,Dhaka,3872.2478284708404
2024-05-02,Dhaka,4872.657672477924
2024-05-03,Dhaka,3836.3451384921823
2024-05-04,Dhaka,5121.292091029907
2024-05-05,Dhaka,4595.01649344582
2024-05-06,Dhaka,3936.139997934649
2024-05-07,Dhaka,5823.48668936967
2024-05-08,Dhaka,4311.162610185671
2024-05-09,Dhaka,5232.430127652893
2024-05-10,Dhaka,5822.232461643283
2024-05-11,Dhaka,3999.7856263003705
2024-05-12,Dhaka,5503.549231568258
2024-05-13,Dhaka,5131.485945643457
2024-05-14,Dhaka,5296.8899720856025
2024-05-15,Dhaka,4505.473535505734
2024-05-16,Dhaka,4498.094414255764
2024-05-17,Dhaka,4540.824414962966
2024-05-18,Dhaka,5503.279996063057
2024-05-19,Dhaka,6228.017650993788
2024-05-20,Dhaka,6268.284876075025
2024-05-21,Dhaka,4277.379467326019
2024-05-22,Dhaka,5086.58418590878
2024-05-23,Dhaka,4554.328446678475
2024-05-24,Dhaka,4476.233502969084
2024-05-25,Dhaka,4278.83271431738
2024-05-26,Dhaka,3292.3103148704417
2024-05-27,Dhaka,4091.2607985771124
2024-05-28,Dhaka,4123.666339916626
2024-05-29,Dhaka,5604.754266705238
2024-05-30,Dhaka,5499.125409106056
2024-05-31,Dhaka,4817.010871787849
2024-06-01,Dhaka,4566.260802048302
2024-06-02,Dhaka,5601.129160726636
2024-06-03,Dhaka,4017.639251507455
2024-06-04,Dhaka,4783.924633130786
2024-06-05,Dhaka,4955.106456508272
2024-06-06,Dhaka,4043.605415721789
2024-06-07,Dhaka,4671.457011686799
2024-06-08,Dhaka,4756.573291682864
2024-06-09,Dhaka,3645.9932723649645
2024-06-10,Dhaka,4773.428004339153
2024-06-11,Dhaka,4594.321576584144
2024-06-12,Dhaka,5469.446613484384
2024-06-13,Dhaka,4435.9218797513495
2024-06-14,Dhaka,4106.194853296857
2024-06-15,Dhaka,4318.003677604078
2024-06-16,Dhaka,5537.904442021775
2024-06-17,Dhaka,4815.158733629183
2024-06-18,Dhaka,4252.982895048255
2024-06-19,Dhaka,3565.7752191687127
2024-06-20,Dhaka,5455.0605372694945
2024-06-21,Dhaka,5562.917416288537
2024-06-22,Dhaka,5644.917374059633
2024-06-23,Dhaka,4745.860667239597
2024-06-24,Dhaka,4713.529868003809
2024-06-25,Dhaka,4687.785147857848
2024-06-26,Dhaka,4549.791735669481
2024-06-27,Dhaka,4769.621758767198
2024-06-28,Dhaka,4842.013494382932
2024-06-29,Dhaka,4475.657550710244
2024-06-30,Dhaka,3558.839742650145
2024-07-01,Dhaka,3545.796531146592
2024-07-02,Dhaka,3679.8054112767045
2024-07-03,Dhaka,4136.1419000592205
2024-07-04,Dhaka,4269.905458604286
2024-07-05,Dhaka,5113.526116928821
2024-07-06,Dhaka,4714.935464323572
2024-07-07,Dhaka,5279.305357721342
2024-07-08,Dhaka,4823.306419559559
2024-07-09,Dhaka,4675.36974778908
2024-07-10,Dhaka,5653.2046651036
2024-07-11,Dhaka,4065.8472092937695
2024-07-12,Dhaka,3775.6409186041033
2024-07-13,Dhaka,5624.097560185145
2024-07-14,Dhaka,4961.764182749364
2024-07-15,Dhaka,4764.125076302511
2024-07-16,Dhaka,5570.102353846066
2024-07-17,Dhaka,4871.842073757272
2024-07-18,Dhaka,4560.461281667356
2024-07-19,Dhaka,5361.769672277384
2024-07-20,Dhaka,5259.330817774327
2024-07-21,Dhaka,5089.096753307676
2024-07-22,Dhaka,5103.133644410739
2024-07-23,Dhaka,4631.673475262789
2024-07-24,Dhaka,4889.4738414799
2024-07-25,Dhaka,5627.798910865246
2024-07-26,Dhaka,5625.823025020054
2024-07-27,Dhaka,4773.270464146529
2024-07-28,Dhaka,4765.129557088396
2024-07-29,Dhaka,4893.90336420461
2024-07-30,Dhaka,4981.913075966261
2024-07-31,Dhaka,5795.717872138616
2024-08-01,Dhaka,3515.270195326974
2024-08-02,Dhaka,3686.1120331220172
2024-08-03,Dhaka,3614.530021231558
2024-08-04,Dhaka,5714.850867611167
2024-08-05,Dhaka,4923.925096551121
2024-08-06,Dhaka,4768.0165767449425
2024-08-07,Dhaka,4992.4297256878635
2024-08-08,Dhaka,4748.519463743677
2024-08-09,Dhaka,4932.063858667382
2024-08-10,Dhaka,5319.496782209928
2024-08-11,Dhaka,4879.056905334866
2024-08-12,Dhaka,4509.851224828444
2024-08-13,Dhaka,5755.24076388957
2024-08-14,Dhaka,5663.800182791786
2024-08-15,Dhaka,4591.982497726961
