date,district,temperature,humidity,rainfall,wind_speed
2024-04-27,Dhaka,32.37,60.45,1.83,2.6
2024-04-28,Dhaka,33.08,59.34,1.19,2.98
2024-04-29,Dhaka,33.14,57.23,1.52,2.95
2024-04-30,Dhaka,33.55,58.62,0.08,3.44
2024-05-01,Dhaka,33.11,58.65,1.17,2.85
2024-05-02,Dhaka,31.92,66.03,6.5,2.43
2024-05-03,Dhaka,31.73,59.77,2.59,1.84
2024-05-04,Dhaka,31.26,64.68,5.94,2.54
2024-05-05,Dhaka,29.89,76.19,25.11,3.64
2024-05-06,Dhaka,29.04,81.39,28.48,3.64
2024-05-07,Dhaka,27.68,77.52,14.28,1.74
2024-05-08,Dhaka,26.5,74.54,26.34,1.13
2024-05-09,Dhaka,27.94,68.05,3.08,1.02
2024-05-10,Dhaka,28.05,70.67,8.96,0.89
2024-05-11,Dhaka,27.47,82.19,36.95,1.53
2024-05-12,Dhaka,28.59,73.73,3.43,1.07
2024-05-13,Dhaka,29.33,71.45,0.34,0.9
2024-05-14,Dhaka,29.86,72.57,1.09,1.04
2024-05-15,Dhaka,30.23,73.58,0.18,1.15
2024-05-16,Dhaka,30.46,71.17,0.06,1.08
2024-05-17,Dhaka,30.45,70.22,0.1,1.92
2024-05-18,Dhaka,29.85,79.3,15.48,2.01
2024-05-19,Dhaka,29.79,79.33,9.12,1.69
2024-05-20,Dhaka,29.56,76.71,6.28,1.06
2024-05-21,Dhaka,30.69,69.07,4.58,0.64
2024-05-22,Dhaka,31.32,68.75,8.22,0.93
2024-05-23,Dhaka,31.9,66.31,1.81,0.8
2024-05-24,Dhaka,32.8,66.65,1.15,1.13
2024-05-25,Dhaka,32.31,71.3,0.58,1.88
2024-05-26,Dhaka,30.23,83.1,39.02,4.12
2024-05-27,Dhaka,28.47,89.48,48.04,9.41
2024-05-28,Dhaka,27.85,89.78,130.72,6.17
2024-05-29,Dhaka,29.92,89.77,7.05,4.19
2024-05-30,Dhaka,29.75,89.74,8.31,3.88
2024-05-31,Dhaka,29.58,87.73,4.95,2.5
